date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2020-08-06T16:36:35Z,0.594,0.386,0,-8.277,0,0.0288,0.668,0.00182,0.126,0.13,120.004,audio_features,5Uv0jCC7nThvkqRPQxDnYL,spotify:track:5Uv0jCC7nThvkqRPQxDnYL,https://api.spotify.com/v1/tracks/5Uv0jCC7nThvkqRPQxDnYL,https://api.spotify.com/v1/audio-analysis/5Uv0jCC7nThvkqRPQxDnYL,313391,4
2020-08-06T16:35:54Z,0.407,0.643,7,-8.332,0,0.147,0.282,0.0,0.116,0.444,81.257,audio_features,3SVeRj8rLqw1znUQydGZBV,spotify:track:3SVeRj8rLqw1znUQydGZBV,https://api.spotify.com/v1/tracks/3SVeRj8rLqw1znUQydGZBV,https://api.spotify.com/v1/audio-analysis/3SVeRj8rLqw1znUQydGZBV,414250,4
2020-08-05T17:08:26Z,0.481,0.575,9,-8.086,0,0.0475,0.221,1.67e-06,0.152,0.516,160.143,audio_features,0oQOdJOhZlVgh6eIptfrLg,spotify:track:0oQOdJOhZlVgh6eIptfrLg,https://api.spotify.com/v1/tracks/0oQOdJOhZlVgh6eIptfrLg,https://api.spotify.com/v1/audio-analysis/0oQOdJOhZlVgh6eIptfrLg,253480,4
2020-08-02T04:30:05Z,0.529,0.607,6,-6.781,1,0.0574,0.104,0.0,0.0631,0.238,101.966,audio_features,7krbSH3rd8lhIZvuzTV3Bl,spotify:track:7krbSH3rd8lhIZvuzTV3Bl,https://api.spotify.com/v1/tracks/7krbSH3rd8lhIZvuzTV3Bl,https://api.spotify.com/v1/audio-analysis/7krbSH3rd8lhIZvuzTV3Bl,234107,4
2020-07-31T22:18:37Z,0.648,0.846,0,-6.731,1,0.0424,0.199,4.23e-06,0.0803,0.815,160.075,audio_features,0wQCKR9OFjYu5Kzrk7WivJ,spotify:track:0wQCKR9OFjYu5Kzrk7WivJ,https://api.spotify.com/v1/tracks/0wQCKR9OFjYu5Kzrk7WivJ,https://api.spotify.com/v1/audio-analysis/0wQCKR9OFjYu5Kzrk7WivJ,343413,4
2020-07-31T15:46:57Z,0.525,0.61,6,-6.793,1,0.0404,0.084,0.0,0.0572,0.293,101.875,audio_features,2fmyrECK6bdfoGven0UMZx,spotify:track:2fmyrECK6bdfoGven0UMZx,https://api.spotify.com/v1/tracks/2fmyrECK6bdfoGven0UMZx,https://api.spotify.com/v1/audio-analysis/2fmyrECK6bdfoGven0UMZx,233400,4
2020-07-31T15:43:53Z,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,audio_features,1mXVgsBdtIVeCLJnSnmtdV,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,201000,4
2020-07-27T22:22:03Z,0.811,0.771,4,-6.179,0,0.0795,0.0986,2.21e-05,0.135,0.67,115.022,audio_features,5E1kXNW5z4ee45K4Jz4PBN,spotify:track:5E1kXNW5z4ee45K4Jz4PBN,https://api.spotify.com/v1/tracks/5E1kXNW5z4ee45K4Jz4PBN,https://api.spotify.com/v1/audio-analysis/5E1kXNW5z4ee45K4Jz4PBN,231053,4
2020-07-27T20:33:34Z,0.635,0.676,10,-5.338,0,0.089,0.662,0.0,0.287,0.597,97.225,audio_features,6rSpkerchNvMlRqYZQvFcl,spotify:track:6rSpkerchNvMlRqYZQvFcl,https://api.spotify.com/v1/tracks/6rSpkerchNvMlRqYZQvFcl,https://api.spotify.com/v1/audio-analysis/6rSpkerchNvMlRqYZQvFcl,179461,4
2020-07-26T03:13:34Z,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354,4
